claim_id,policy_number,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported
CLM-00138,434507,2015-01-07,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Springfield,7709 Rock Lane,9,3,NO,0,3,,65500,6550,6550,52400,BMW,X5,2010,N
CLM-00139,935277,2015-02-01,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,NC,Springfield,9358 Texas Ridge,21,3,,1,2,YES,76120,13840,6920,55360,Toyota,Camry,1999,N
CLM-00140,756054,2015-02-21,Multi-vehicle Collision,Front Collision,Total Loss,Other,VA,Springfield,8080 Oak Lane,19,3,NO,0,2,YES,73560,12260,12260,49040,BMW,X5,1995,N
CLM-00141,682387,2015-01-21,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Northbend,6408 Weaver Ridge,2,1,YES,0,1,,52030,9460,4730,37840,Mercedes,E400,2008,N
CLM-00142,456604,2015-01-19,Vehicle Theft,,Trivial Damage,,SC,Northbrook,5532 Weaver Ridge,9,1,,2,3,,5170,470,940,3760,Suburu,Forrestor,2001,N
CLM-00143,139872,2015-02-27,Parked Car,,Minor Damage,,SC,Northbend,9101 2nd Hwy,5,1,,2,1,YES,8190,1890,1260,5040,Chevrolet,Silverado,2013,N
CLM-00144,354105,2015-02-14,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Springfield,8576 Andromedia St,14,1,,2,3,,70800,7080,14160,49560,Accura,MDX,2012,Y
CLM-00145,165485,2015-02-01,Multi-vehicle Collision,Rear Collision,Total Loss,Police,WV,Springfield,6315 2nd Lane,20,3,,0,3,YES,45630,5070,5070,35490,Accura,MDX,2011,N
CLM-00146,515050,2015-02-02,Single Vehicle Collision,Front Collision,Major Damage,Police,NC,Northbrook,1536 Flute Drive,18,1,YES,2,1,,99320,7640,15280,76400,Accura,TL,2002,Y
CLM-00147,795686,2015-02-01,Multi-vehicle Collision,Side Collision,Major Damage,Fire,NC,Northbend,4672 MLK St,13,3,,2,0,NO,64000,12800,6400,44800,BMW,X6,1996,Y
CLM-00148,395983,2015-01-19,Single Vehicle Collision,Front Collision,Minor Damage,Fire,WV,Northbrook,2204 Washington Lane,21,1,,1,1,,47300,4730,4730,37840,Nissan,Pathfinder,2014,N
CLM-00149,119513,2015-02-18,Single Vehicle Collision,Rear Collision,Major Damage,Other,SC,Springfield,9484 Pine Drive,14,1,NO,2,3,,71680,8960,8960,53760,Volkswagen,Jetta,2007,Y
CLM-00150,217938,2015-02-08,Single Vehicle Collision,Side Collision,Major Damage,Other,SC,Springfield,5431 3rd Ridge,1,1,,1,0,YES,112320,17280,17280,77760,Suburu,Impreza,2011,Y
CLM-00151,203914,2015-01-09,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Columbus,7121 Britain Drive,17,1,,1,0,,82720,7520,15040,60160,Audi,A3,2014,N
CLM-00152,565157,2015-02-27,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NC,Hillsdale,8586 1st Ridge,4,3,,2,1,,48060,10680,5340,32040,Mercedes,C300,2009,N
CLM-00153,904191,2015-01-08,Multi-vehicle Collision,Rear Collision,Total Loss,Police,NY,Riverwood,7582 Pine Drive,23,3,YES,1,3,YES,63570,9780,9780,44010,Volkswagen,Jetta,2006,Y
CLM-00154,419510,2015-01-08,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,WV,Columbus,1388 Embaracadero Hwy,13,3,NO,2,3,,63240,10540,10540,42160,Suburu,Forrestor,1997,N
CLM-00155,575000,2015-02-24,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,NC,Northbrook,5621 4th Ave,20,3,NO,1,3,,54240,9040,9040,36160,Saab,93,2013,Y
CLM-00156,120485,2015-02-12,Single Vehicle Collision,Front Collision,Major Damage,Police,NY,Riverwood,8150 Washington Ridge,16,1,YES,2,3,NO,37280,0,0,37280,Audi,A5,1996,Y
CLM-00157,781181,2015-02-18,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,4268 2nd Ave,10,3,,2,1,YES,72100,7210,14420,50470,Jeep,Wrangler,2006,N
CLM-00158,299796,2015-02-06,Parked Car,,Minor Damage,,WV,Northbend,6375 2nd Lane,8,1,,2,3,NO,6500,1300,650,4550,Saab,92x,2013,N
CLM-00159,589749,2015-02-14,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Springfield,3770 Flute Drive,17,3,,2,0,,78240,13040,13040,52160,Suburu,Legacy,2013,N
CLM-00160,854021,2015-02-05,Vehicle Theft,,Minor Damage,Police,NY,Columbus,1562 Britain St,9,1,,2,0,,6200,1240,620,4340,Honda,Accord,1999,N
CLM-00161,454086,2015-01-25,Parked Car,,Minor Damage,Police,VA,Springfield,1681 Cherokee Hwy,0,1,YES,2,3,,6160,560,1680,3920,Mercedes,E400,2014,N
CLM-00162,139484,2015-01-16,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,SC,Northbrook,7523 Oak Lane,12,1,,2,0,,76050,11700,11700,52650,Chevrolet,Silverado,1997,N
CLM-00163,678849,2015-01-28,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,NY,Hillsdale,1815 Cherokee Drive,20,2,NO,2,1,YES,86060,13240,13240,59580,Volkswagen,Passat,2002,N
CLM-00164,346940,2015-01-21,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Arlington,9316 Pine Ave,3,1,YES,2,0,NO,107900,10790,21580,75530,Dodge,Neon,1997,Y
CLM-00165,985436,2015-01-07,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,PA,Columbus,2733 Texas Drive,18,3,NO,2,0,YES,99990,18180,18180,63630,Mercedes,E400,2011,N
CLM-00166,237418,2015-02-23,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,WV,Columbus,7684 Francis Ridge,4,3,NO,2,2,YES,61380,11160,5580,44640,Suburu,Legacy,2012,N
CLM-00167,335780,2015-02-14,Single Vehicle Collision,Rear Collision,Major Damage,Fire,WV,Riverwood,8991 Embaracadero Ave,18,1,,2,1,YES,71280,12960,12960,45360,Audi,A5,2012,Y
CLM-00168,491392,2015-02-27,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Northbend,4905 Francis Ave,18,3,NO,0,0,NO,64000,12800,6400,44800,Saab,95,1999,N
CLM-00169,140880,2015-02-21,Parked Car,,Trivial Damage,Police,SC,Hillsdale,7783 Lincoln Hwy,7,1,,0,1,NO,5940,660,660,4620,Toyota,Highlander,2015,N
CLM-00170,962591,2015-01-05,Parked Car,,Minor Damage,,NY,Hillsdale,8749 Tree St,18,1,NO,1,0,NO,6700,670,670,5360,Jeep,Wrangler,2011,N
CLM-00171,922565,2015-01-30,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Arlington,4985 Sky Lane,23,3,YES,0,0,,51740,11940,7960,31840,Jeep,Wrangler,2006,N
CLM-00172,288580,2015-02-26,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,PA,Riverwood,7534 MLK Hwy,1,1,,0,1,YES,53600,6700,6700,40200,Volkswagen,Jetta,2007,Y
CLM-00173,154280,2015-01-10,Multi-vehicle Collision,Rear Collision,Total Loss,Other,SC,Arlington,8689 Maple Hwy,15,3,YES,1,0,,44910,4990,4990,34930,Dodge,Neon,2001,N
CLM-00174,425973,2015-02-23,Multi-vehicle Collision,Front Collision,Major Damage,Fire,PA,Hillsdale,9153 3rd Hwy,2,3,,0,2,YES,48100,11100,7400,29600,Volkswagen,Jetta,2014,N
CLM-00175,477177,2015-02-05,Vehicle Theft,,Trivial Damage,,WV,Riverwood,5904 1st Drive,3,1,NO,0,1,NO,6100,610,1220,4270,Ford,Fusion,2002,N
CLM-00176,648509,2015-01-21,Single Vehicle Collision,Rear Collision,Minor Damage,Other,PA,Hillsdale,4519 Embaracadero St,13,1,,1,0,YES,79600,15920,15920,47760,Jeep,Wrangler,2011,N
CLM-00177,914815,2015-01-07,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,OH,Hillsdale,9706 MLK Lane,1,1,NO,1,1,YES,77040,8560,8560,59920,Honda,Civic,1998,N
CLM-00178,249048,2015-01-11,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Columbus,6012 Texas Hwy,16,1,YES,0,1,,62590,11380,11380,39830,Volkswagen,Jetta,2003,N
CLM-00179,144323,2015-02-06,Single Vehicle Collision,Front Collision,Total Loss,Other,WV,Northbend,4098 Weaver Ridge,0,1,YES,0,1,NO,85150,13100,13100,58950,Chevrolet,Malibu,1998,N
CLM-00180,651861,2015-01-24,Vehicle Theft,,Trivial Damage,,NY,Hillsdale,6193 1st Hwy,1,1,,2,1,NO,4950,450,900,3600,Chevrolet,Silverado,2010,N
CLM-00181,125324,2015-02-18,Multi-vehicle Collision,Side Collision,Major Damage,Fire,VA,Riverwood,4053 Sky Lane,17,3,,2,0,YES,51100,10220,5110,35770,Audi,A3,2006,N
CLM-00182,398102,2015-01-12,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Springfield,8964 Francis St,13,1,YES,2,3,,100800,16800,16800,67200,Dodge,Neon,1997,N
CLM-00183,514065,2015-01-17,Single Vehicle Collision,Side Collision,Total Loss,Police,VA,Springfield,9748 Sky Drive,12,1,YES,2,3,NO,90970,16540,16540,57890,Accura,RSX,2009,N
CLM-00184,391652,2015-01-12,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbend,2293 Washington Ave,11,1,,1,1,YES,81840,14880,7440,59520,Chevrolet,Malibu,2011,Y
CLM-00185,922167,2015-01-06,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Northbend,3656 Solo Ave,18,1,,0,2,NO,54900,5490,5490,43920,Mercedes,C300,2013,N
CLM-00186,442795,2015-02-25,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Northbend,8579 Apache Drive,17,1,YES,2,3,NO,88660,8060,16120,64480,Mercedes,C300,2007,Y
CLM-00187,226330,2015-02-16,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,NC,Riverwood,2003 Maple Hwy,22,3,,1,1,NO,18000,2250,2250,13500,Audi,A3,2009,N
CLM-00188,134430,2015-02-25,Vehicle Theft,,Minor Damage,Police,NY,Northbrook,5445 Tree Hwy,9,1,YES,1,3,YES,5500,1100,550,3850,Chevrolet,Tahoe,2010,N
CLM-00189,524230,2015-02-21,Multi-vehicle Collision,Rear Collision,Major Damage,Other,WV,Hillsdale,9730 2nd Hwy,11,3,,1,0,,73920,13440,6720,53760,Honda,Civic,2003,Y
CLM-00190,438817,2015-02-16,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,VA,Columbus,7819 Oak St,11,1,NO,0,2,YES,101860,18520,18520,64820,Honda,CRV,2007,N
CLM-00191,293794,2015-02-09,Parked Car,,Minor Damage,,SC,Riverwood,1845 Best St,8,1,YES,0,1,YES,5390,980,980,3430,Volkswagen,Passat,2008,N
CLM-00192,868283,2015-02-13,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Springfield,2500 Tree St,18,1,,1,2,,50490,5610,5610,39270,Nissan,Maxima,2001,N
CLM-00193,828890,2015-01-11,Single Vehicle Collision,Front Collision,Total Loss,Police,SC,Arlington,6955 Pine Drive,13,1,NO,0,3,NO,55500,5550,11100,38850,Mercedes,C300,2012,N
CLM-00194,882920,2015-01-02,Vehicle Theft,,Minor Damage,Police,VA,Hillsdale,6165 Rock Ridge,8,1,YES,1,1,YES,7040,1280,640,5120,Nissan,Maxima,2015,N
CLM-00195,918777,2015-02-12,Multi-vehicle Collision,Rear Collision,Total Loss,Other,VA,Northbrook,3653 Elm Drive,9,3,,0,1,YES,40160,5020,0,35140,Chevrolet,Tahoe,2003,N
CLM-00196,212580,2015-02-05,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NC,Columbus,5812 3rd Hwy,17,2,YES,2,3,NO,55680,6960,6960,41760,Saab,95,2006,N
CLM-00197,602410,2015-01-24,Vehicle Theft,,Trivial Damage,Police,WV,Springfield,4939 Best St,3,1,,1,1,NO,5300,530,530,4240,Jeep,Grand Cherokee,2001,Y
CLM-00198,976971,2015-01-12,Parked Car,,Trivial Damage,,WV,Arlington,4964 Elm Lane,6,1,YES,0,3,,5200,650,650,3900,Accura,MDX,2006,N
CLM-00199,630226,2015-01-16,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Riverwood,9588 Solo St,17,1,YES,2,1,NO,59400,5940,11880,41580,Honda,Civic,2014,N
CLM-00200,171254,2015-01-13,Vehicle Theft,,Minor Damage,Police,SC,Arlington,8718 Apache Lane,7,1,,1,1,,2520,280,280,1960,BMW,3 Series,1997,N
CLM-00201,247116,2015-02-02,Vehicle Theft,,Trivial Damage,Police,NY,Hillsdale,3590 Best Hwy,9,1,NO,2,1,YES,5760,960,960,3840,Suburu,Impreza,2011,N
CLM-00202,505969,2015-02-28,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,WV,Hillsdale,6149 Best Ridge,3,1,,2,0,YES,76700,7670,7670,61360,Suburu,Legacy,2006,N
CLM-00203,653864,2015-01-18,Parked Car,,Trivial Damage,Police,NY,Springfield,4116 Embaracadero Lane,6,1,NO,0,2,NO,5920,740,740,4440,Chevrolet,Malibu,2015,N
CLM-00204,586367,2015-02-15,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Riverwood,3486 Flute Ave,7,3,YES,0,3,,64350,7150,7150,50050,Chevrolet,Tahoe,2009,N
CLM-00205,896890,2015-01-31,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,WV,Northbend,5994 5th Ave,21,3,NO,1,2,,19080,4240,2120,12720,Saab,93,1995,N
CLM-00206,650026,2015-02-10,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Springfield,9138 3rd St,14,1,NO,2,1,NO,54400,5440,5440,43520,BMW,M5,2011,N
CLM-00207,547744,2015-02-26,Single Vehicle Collision,Rear Collision,Total Loss,Fire,SC,Columbus,3743 Andromedia Ridge,0,1,,1,0,NO,59800,5980,5980,47840,Ford,F150,1999,Y
CLM-00208,598124,2015-02-25,Multi-vehicle Collision,Side Collision,Major Damage,Police,VA,Springfield,7644 Tree Ridge,14,3,,0,3,YES,72000,7200,7200,57600,Audi,A3,2005,N
CLM-00209,436126,2015-01-08,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Riverwood,3167 2nd St,13,4,NO,2,3,NO,65070,7230,14460,43380,Mercedes,C300,2003,N
CLM-00210,739447,2015-01-14,Parked Car,,Trivial Damage,Police,WV,Columbus,3327 Lincoln Drive,8,1,NO,0,1,NO,8800,1760,880,6160,Suburu,Legacy,2002,N
CLM-00211,427484,2015-02-03,Vehicle Theft,,Minor Damage,Police,NC,Hillsdale,8621 Best Ridge,7,1,NO,2,0,NO,6120,1020,1020,4080,Toyota,Corolla,2015,N
CLM-00212,218684,2015-01-05,Vehicle Theft,,Trivial Damage,,OH,Columbus,3878 Tree Lane,9,1,,1,2,,7080,1180,590,5310,Dodge,RAM,1999,N
CLM-00213,565564,2015-01-24,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NY,Riverwood,9760 Solo Lane,12,3,YES,2,3,YES,34320,8580,4290,21450,Volkswagen,Passat,2009,N
CLM-00214,743163,2015-01-26,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Springfield,9138 1st St,6,3,,1,0,,53460,9720,9720,34020,Dodge,Neon,2004,Y
CLM-00215,604614,2015-01-21,Single Vehicle Collision,Side Collision,Total Loss,Other,NC,Columbus,3414 Elm Ave,11,1,YES,1,3,,81360,6780,13560,61020,Suburu,Legacy,2009,Y
CLM-00216,509928,2015-02-06,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NC,Springfield,3172 Tree Ridge,5,3,,1,2,YES,81070,7370,14740,58960,Audi,A3,2006,Y
CLM-00217,593390,2015-01-07,Single Vehicle Collision,Front Collision,Minor Damage,Fire,NY,Columbus,6104 Oak Ave,14,1,NO,2,2,NO,63120,5260,10520,47340,Audi,A5,2008,N
CLM-00218,970607,2015-02-10,Vehicle Theft,,Trivial Damage,,NC,Springfield,9742 5th Ridge,17,1,,2,1,NO,7200,1440,720,5040,BMW,X5,2004,N
CLM-00219,174701,2015-02-23,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,Hillsdale,8782 3rd St,0,1,,2,3,,70290,12780,6390,51120,Saab,92x,1998,Y
CLM-00220,529398,2015-01-09,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,SC,Northbrook,9798 Sky Ridge,21,3,NO,1,0,NO,60190,9260,9260,41670,BMW,X6,1999,N
CLM-00221,940942,2015-02-22,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Hillsdale,5483 Francis Drive,18,1,YES,1,2,YES,61380,11160,5580,44640,Honda,Civic,2009,Y
CLM-00222,442677,2015-02-21,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Springfield,2005 Texas Hwy,17,1,NO,2,2,NO,28100,2810,5620,19670,Jeep,Grand Cherokee,2012,N
CLM-00223,365364,2015-02-04,Single Vehicle Collision,Side Collision,Total Loss,Fire,NY,Hillsdale,6634 Texas Ridge,19,1,YES,0,0,NO,49060,8920,8920,31220,Chevrolet,Silverado,1995,N
CLM-00224,114839,2015-01-07,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,Columbus,8655 Cherokee Lane,17,3,,1,1,NO,57060,6340,6340,44380,Mercedes,E400,1995,N
CLM-00225,872734,2015-01-17,Multi-vehicle Collision,Side Collision,Major Damage,Fire,VA,Arlington,4955 Lincoln Ridge,23,3,,0,3,YES,77880,12980,12980,51920,Accura,MDX,2008,N
CLM-00226,267885,2015-01-28,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,NY,Springfield,7705 Best Ridge,4,1,YES,0,1,YES,73500,7350,14700,51450,Jeep,Wrangler,1999,N
CLM-00227,740505,2015-02-22,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NY,Riverwood,5838 Pine Lane,2,2,YES,2,0,,88920,6840,13680,68400,Accura,RSX,2010,N
CLM-00228,629663,2015-02-16,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Arlington,7331 Sky Hwy,2,1,,0,2,NO,47630,12990,4330,30310,Toyota,Corolla,2005,Y
CLM-00229,839884,2015-02-17,Multi-vehicle Collision,Front Collision,Total Loss,Fire,WV,Hillsdale,5640 Embaracadero Lane,10,3,YES,1,3,NO,59040,6560,6560,45920,Saab,93,2015,N
CLM-00230,241562,2015-01-09,Single Vehicle Collision,Rear Collision,Minor Damage,Other,SC,Columbus,9610 Cherokee St,2,1,,0,3,NO,79530,14460,7230,57840,Accura,MDX,2000,N
CLM-00231,405533,2015-02-09,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Columbus,3550 Washington Ave,18,1,NO,0,2,YES,53680,4880,4880,43920,Honda,CRV,2005,N
CLM-00232,667021,2015-02-16,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Arlington,5277 Texas Lane,18,1,NO,2,3,YES,33550,3050,6100,24400,Volkswagen,Passat,2005,N
CLM-00233,511621,2015-02-18,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,Springfield,3654 Cherokee Ave,7,4,,2,1,YES,69100,6910,6910,55280,Toyota,Highlander,2006,N
CLM-00234,476923,2015-01-11,Multi-vehicle Collision,Rear Collision,Major Damage,Police,OH,Hillsdale,7380 5th Hwy,19,3,,2,0,NO,79750,14500,14500,50750,Nissan,Pathfinder,1999,N
CLM-00235,735822,2015-02-04,Multi-vehicle Collision,Front Collision,Major Damage,Other,PA,Riverwood,2539 Embaracadero Ridge,10,3,,0,2,YES,53600,5360,10720,37520,Audi,A5,2015,Y
CLM-00236,492745,2015-01-22,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,NY,Riverwood,4693 Lincoln Hwy,16,3,NO,1,0,,76560,12760,6380,57420,Nissan,Ultima,2009,N
CLM-00237,130930,2015-01-10,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Arlington,2376 Sky Ridge,17,1,YES,1,1,NO,41130,4570,4570,31990,Dodge,RAM,1999,N
CLM-00238,261119,2015-01-10,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Columbus,1273 Rock Lane,2,3,NO,2,3,NO,78650,14300,7150,57200,Audi,A3,1996,Y
CLM-00239,280709,2015-02-16,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,Springfield,8281 Lincoln Lane,19,1,,1,1,,71060,6460,12920,51680,Saab,92x,2010,N
CLM-00240,898573,2015-02-08,Single Vehicle Collision,Front Collision,Minor Damage,Fire,WV,Northbrook,6429 4th Hwy,0,1,YES,1,1,,38830,3530,3530,31770,Suburu,Legacy,1999,N
CLM-00241,547802,2015-01-26,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Riverwood,2201 4th Lane,16,1,,0,0,YES,53500,5350,5350,42800,Saab,92x,2015,N
CLM-00242,600845,2015-02-01,Single Vehicle Collision,Front Collision,Major Damage,Other,VA,Columbus,5506 Best St,20,1,YES,2,0,NO,73700,7370,7370,58960,Chevrolet,Silverado,2001,Y
CLM-00243,390381,2015-02-02,Parked Car,,Trivial Damage,,SC,Hillsdale,8404 Embaracadero St,10,1,,2,1,YES,6300,630,630,5040,Nissan,Ultima,2001,N
CLM-00244,629918,2015-02-06,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,NY,Riverwood,2117 Lincoln Hwy,21,3,,2,2,NO,65400,10900,10900,43600,Dodge,RAM,2012,N
CLM-00245,208298,2015-01-01,Vehicle Theft,,Trivial Damage,,PA,Springfield,6359 MLK Ridge,3,1,YES,1,2,NO,3200,640,320,2240,Mercedes,E400,2014,N
CLM-00246,513099,2015-01-19,Single Vehicle Collision,Rear Collision,Major Damage,Fire,NY,Arlington,9751 Sky Ridge,7,1,YES,0,3,YES,75400,7540,15080,52780,Dodge,RAM,2012,Y
CLM-00247,184938,2015-01-17,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NY,Northbend,9020 Elm Ave,19,1,YES,0,2,YES,58140,6460,6460,45220,Saab,92x,2008,N
CLM-00248,187775,2015-02-01,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Columbus,1830 Sky St,15,3,,0,1,,98670,15180,15180,68310,Chevrolet,Tahoe,2010,Y
CLM-00249,326322,2015-01-02,Parked Car,,Minor Damage,,SC,Hillsdale,6067 Weaver Ridge,7,1,,0,3,NO,5900,1180,590,4130,Mercedes,E400,2009,N
CLM-00250,146138,2015-02-20,Single Vehicle Collision,Rear Collision,Major Damage,Fire,NC,Arlington,1840 Embaracadero Ave,19,1,,1,3,YES,64100,6410,6410,51280,Chevrolet,Malibu,2001,N
CLM-00251,336047,2015-02-05,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Springfield,4058 Tree Drive,13,2,YES,0,1,,55440,5040,10080,40320,Suburu,Forrestor,2009,Y
CLM-00252,532330,2015-02-27,Multi-vehicle Collision,Side Collision,Major Damage,Police,SC,Northbend,4983 MLK Ridge,2,3,NO,1,2,NO,80850,7350,14700,58800,Ford,F150,2011,Y
CLM-00253,118137,2015-01-27,Vehicle Theft,,Trivial Damage,Police,WV,Springfield,9744 Texas Drive,5,1,YES,1,1,NO,7480,680,680,6120,Saab,95,1998,N
CLM-00254,212674,2015-01-26,Single Vehicle Collision,Side Collision,Major Damage,Fire,OH,Riverwood,8821 Elm St,21,1,,2,3,NO,53640,5960,5960,41720,Nissan,Maxima,2004,Y
CLM-00255,935596,2015-01-13,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbrook,2886 Tree Ridge,21,3,NO,2,2,NO,63250,5750,11500,46000,Chevrolet,Tahoe,2002,Y
CLM-00256,737593,2015-01-14,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,Hillsdale,5236 Weaver Drive,7,3,NO,0,1,,59040,9840,9840,39360,Dodge,RAM,1995,N
CLM-00257,812025,2015-02-22,Multi-vehicle Collision,Side Collision,Total Loss,Other,SC,Arlington,5862 Apache Ridge,16,3,YES,1,0,YES,50500,10100,5050,35350,Accura,TL,2004,N
CLM-00258,168151,2015-01-17,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Columbus,7859 4th Ridge,13,1,YES,0,1,NO,57690,6410,12820,38460,Mercedes,C300,2010,Y
CLM-00259,594739,2015-02-02,Vehicle Theft,,Trivial Damage,Police,NY,Springfield,6259 Weaver St,2,1,YES,1,3,YES,5940,660,660,4620,Toyota,Camry,2014,N
CLM-00260,843227,2015-01-07,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbend,9980 Lincoln Ave,19,3,,0,2,YES,47790,5310,5310,37170,Suburu,Impreza,1995,Y
CLM-00261,283925,2015-02-02,Parked Car,,Trivial Damage,,SC,Riverwood,7828 Cherokee Ave,17,1,,0,1,NO,3850,350,350,3150,Dodge,Neon,2014,N
CLM-00262,475588,2015-02-07,Single Vehicle Collision,Front Collision,Major Damage,Police,NC,Arlington,5812 Oak St,3,1,,2,0,,59000,5900,5900,47200,Ford,Fusion,2013,Y
CLM-00263,751905,2015-01-18,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,NY,Arlington,2318 Washington Hwy,17,3,NO,0,1,,70600,7060,14120,49420,Volkswagen,Passat,2013,Y
CLM-00264,226725,2015-01-10,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Hillsdale,8809 Flute St,5,3,,1,1,,61490,5590,11180,44720,Dodge,RAM,2001,N
CLM-00265,942504,2015-01-30,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,3184 Oak Ave,9,1,NO,1,0,YES,57640,5240,10480,41920,Volkswagen,Passat,2010,N
CLM-00266,395572,2015-01-25,Vehicle Theft,,Trivial Damage,Police,NC,Hillsdale,6493 Lincoln Lane,9,1,NO,1,0,NO,6890,1060,1060,4770,Audi,A5,1999,N
CLM-00267,889883,2015-01-29,Multi-vehicle Collision,Side Collision,Major Damage,Fire,PA,Columbus,7162 Maple Ave,9,3,,2,2,,53280,11840,5920,35520,Toyota,Camry,2006,Y
CLM-00268,818167,2015-02-24,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Springfield,5455 Tree Ridge,22,3,NO,0,0,,78300,15660,7830,54810,BMW,X5,2009,N
CLM-00269,277767,2015-01-04,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,PA,Springfield,5778 Pine Ridge,15,3,YES,0,3,NO,41490,4610,4610,32270,Nissan,Pathfinder,2001,N
CLM-00270,842618,2015-02-25,Multi-vehicle Collision,Front Collision,Total Loss,Fire,SC,Hillsdale,3797 Solo Lane,14,3,YES,2,3,YES,68970,12540,6270,50160,Chevrolet,Tahoe,2007,N
CLM-00271,577810,2015-01-27,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,VA,Arlington,9373 Pine Hwy,6,3,,2,0,YES,85300,17060,8530,59710,Toyota,Highlander,2003,N
CLM-00272,873114,2015-02-19,Parked Car,,Minor Damage,,NY,Hillsdale,1365 Francis Ave,6,1,NO,0,0,NO,3080,560,280,2240,Audi,A3,2012,N
CLM-00273,994538,2015-01-31,Multi-vehicle Collision,Front Collision,Major Damage,Police,WV,Arlington,9239 Washington Ridge,22,4,YES,2,0,,71760,11040,11040,49680,Jeep,Grand Cherokee,2010,Y
CLM-00274,727792,2015-01-18,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,NY,Arlington,3416 Washington Drive,14,3,,1,0,NO,59700,11940,11940,35820,Nissan,Ultima,2002,N
