incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,auto_make,auto_model,auto_year,months_as_customer,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital_gains,capital_loss
0,0,0,0,1,1,16,3,1,1,3,2,54450.0,10,1,2007,286,41,0,1,1000,1298.85,6000000,0,2,11,4,2,71300,-70300
0,2,1,1,1,5,19,3,2,1,3,1,68580.0,7,36,2010,289,43,2,2,1000,1387.51,0,0,0,11,0,1,0,0
0,1,0,1,1,6,16,3,0,0,3,2,60940.0,9,35,2006,87,31,1,2,1000,1074.07,0,0,5,11,5,0,0,-47500
2,0,2,1,1,1,11,1,2,1,0,1,59670.0,5,13,2008,261,46,0,2,1000,1245.61,0,1,4,13,0,3,0,0
0,2,0,0,6,5,18,3,2,0,3,0,34160.0,1,5,2005,115,31,2,2,1000,1051.67,0,0,0,3,3,1,0,0
2,2,1,2,6,5,22,1,2,2,3,0,67320.0,13,20,1996,142,30,1,2,500,1412.76,0,1,6,1,1,5,66400,-63700
2,0,2,1,1,5,18,1,1,1,0,1,75400.0,6,8,2011,260,43,1,0,500,982.22,0,0,3,3,16,1,54500,-72100
0,1,2,3,1,2,0,3,0,0,3,0,39690.0,11,21,1998,362,55,2,0,1000,1097.99,0,0,3,7,0,4,44400,-71500
0,1,1,3,6,0,10,3,1,0,3,2,53020.0,12,11,1999,280,41,2,2,2000,1140.31,0,1,4,0,8,0,29300,-64700
0,2,2,3,6,2,10,3,1,2,2,0,68000.0,12,11,2014,436,59,2,2,1000,1338.55,0,1,6,10,2,3,39000,0
2,2,1,1,4,3,12,1,1,0,0,1,60600.0,5,16,2004,297,48,1,0,1000,1538.6,0,0,4,7,11,5,0,-54700
2,2,2,2,1,4,19,1,2,1,0,0,72930.0,0,33,2015,160,37,2,2,500,1374.22,0,0,4,2,19,2,45500,-37800
0,2,0,2,4,1,12,3,2,2,0,1,45120.0,0,23,2011,41,25,1,0,1000,1226.83,0,0,1,3,8,1,0,-56100
0,1,0,3,2,0,16,3,2,1,3,1,40810.0,5,14,2000,80,27,2,2,500,795.31,0,1,3,4,16,0,0,-51000
2,0,0,3,6,1,6,1,1,0,2,0,44440.0,2,38,2007,199,38,0,1,1000,1281.25,0,0,2,12,12,2,0,-53100
0,0,0,1,3,3,10,3,1,1,2,2,94560.0,7,17,1995,56,29,0,0,1000,1523.17,0,1,5,9,12,3,0,0
2,1,2,3,1,4,3,1,1,1,1,2,60200.0,11,15,2004,62,28,0,0,1000,988.45,0,0,5,10,4,4,0,0
0,1,2,1,4,6,13,2,2,0,1,1,55440.0,11,15,2009,117,28,2,1,500,1264.77,0,0,0,13,19,4,47500,-32500
1,3,3,3,4,2,7,1,1,0,1,0,5940.0,12,18,2015,276,46,0,1,500,1448.84,0,0,5,6,3,0,0,-50000
0,1,2,1,0,3,11,3,2,1,1,1,77110.0,6,10,2014,163,33,1,0,500,1240.47,0,0,0,7,14,0,35300,0
2,1,2,1,6,2,11,1,0,0,0,1,63250.0,9,35,1997,256,43,2,0,500,1203.17,0,0,4,9,9,4,56700,-65600
2,1,1,0,0,0,17,1,2,1,0,2,73260.0,13,20,2014,123,29,1,1,500,1209.63,0,0,5,6,5,1,64800,-44200
0,2,0,0,5,6,6,3,0,2,0,2,78870.0,11,21,2013,316,45,0,0,2000,1290.74,5000000,0,2,9,11,0,58300,0
1,3,3,3,6,3,20,1,1,0,2,0,6050.0,12,9,2010,228,40,1,0,500,1450.98,0,1,0,3,0,0,43700,0
1,3,1,4,4,5,8,1,2,0,1,2,5390.0,13,28,2008,449,57,2,1,2000,1440.68,0,1,0,12,12,3,25000,0
3,3,3,4,0,4,10,1,0,0,0,1,5600.0,1,4,2007,239,42,0,0,1000,969.5,0,1,1,3,15,1,0,0
0,1,0,3,0,0,23,3,2,0,2,1,87300.0,7,36,2013,48,44,0,0,2000,1400.74,0,1,1,11,0,2,34000,-55600
0,1,0,2,4,2,13,3,2,0,3,2,63600.0,4,30,2010,142,30,1,1,2000,1616.58,0,1,3,0,14,0,58500,-46800
2,0,1,1,6,1,18,1,0,2,1,0,56340.0,13,28,2003,458,61,1,0,1000,1328.18,0,0,2,10,3,2,53000,0
2,1,0,2,1,6,19,1,0,0,2,2,67770.0,8,24,2013,402,54,2,1,2000,1285.09,0,1,3,4,2,1,48000,-79600
1,3,1,4,6,4,9,1,1,0,3,0,5850.0,2,22,2006,283,43,1,0,2000,1161.91,0,0,0,0,14,1,0,-50400
0,2,1,3,1,5,17,3,0,1,3,2,91080.0,7,36,1995,109,29,2,0,2000,1007.28,6000000,0,2,0,12,0,0,0
1,3,3,4,4,0,9,1,0,0,3,1,5400.0,3,25,1998,253,44,2,0,2000,719.52,0,0,2,4,9,3,45800,0
0,2,1,1,0,2,23,3,0,2,2,0,53190.0,13,20,1996,35,35,0,0,2000,1117.42,0,0,6,10,11,1,0,-51900
2,2,1,3,4,4,15,1,1,2,3,2,86790.0,6,8,2003,1,29,2,2,500,854.58,0,0,3,2,13,2,52200,0
0,1,2,3,6,3,3,4,0,0,1,1,67800.0,5,14,2011,126,28,1,1,500,1508.9,0,0,3,6,16,2,0,0
0,0,2,0,2,6,0,3,1,0,2,0,51570.0,2,37,2010,59,40,0,1,2000,782.23,0,1,1,10,9,2,64200,-32300
2,0,0,1,1,4,13,1,0,2,3,0,70900.0,8,24,2002,472,64,1,1,500,989.24,0,1,5,7,16,1,0,0
0,1,1,2,1,6,15,3,1,0,2,2,49950.0,9,35,2004,113,29,2,1,2000,1091.73,0,1,6,3,9,1,36100,-42300
0,1,1,3,1,0,23,3,2,0,0,1,51740.0,7,36,2006,222,42,0,1,500,1124.6,0,1,0,1,10,1,0,0
0,2,2,3,5,0,23,3,2,2,2,0,64800.0,1,4,2014,290,45,0,0,500,1085.03,0,0,3,11,6,5,0,-61000
0,1,2,3,1,5,23,3,2,1,3,2,63570.0,13,20,2006,104,32,1,1,500,1158.03,0,1,2,3,11,3,31900,-44600
0,1,1,0,6,0,15,3,1,1,0,1,53680.0,12,9,2011,194,38,1,0,2000,1231.25,0,0,6,2,12,1,46500,0
0,0,0,1,3,2,2,3,1,0,2,2,48100.0,13,20,2014,8,31,1,1,500,1229.16,4000000,0,4,13,11,5,0,-88300
2,2,1,1,0,4,23,1,2,0,1,2,30700.0,12,11,2015,136,33,2,1,1000,855.14,0,0,6,2,13,1,37900,0
0,0,2,3,6,3,22,3,2,1,0,1,53460.0,6,8,2009,211,37,2,1,2000,1295.63,4000000,0,6,1,16,1,42200,-33800
1,3,1,4,0,3,0,1,0,1,3,2,1920.0,3,34,2011,267,43,2,1,500,1300.68,0,1,6,0,17,4,49000,0
3,3,1,3,5,2,8,1,2,1,1,2,7040.0,9,26,2015,19,32,2,2,1000,1215.85,0,1,2,7,10,0,42900,-90200
3,3,1,3,5,2,21,1,0,0,0,2,3300.0,10,1,2008,137,35,2,2,500,1107.07,0,0,2,10,12,0,0,-45300
0,0,0,2,4,0,9,3,2,2,2,2,71610.0,12,18,2012,175,39,1,2,500,1359.36,5000000,1,6,3,10,0,0,-43600
0,2,0,2,6,1,14,3,2,1,1,2,68760.0,5,16,1995,229,37,0,1,2000,1212.12,0,0,4,2,13,1,65600,0
3,3,3,4,6,5,3,1,0,0,1,0,6100.0,5,16,2002,294,44,0,0,1000,1226.49,0,0,6,4,11,4,53900,0
0,0,2,0,0,5,22,3,1,1,1,0,18000.0,1,4,2009,177,34,0,0,2000,1057.77,0,0,3,12,3,4,0,-57700
2,1,1,0,6,2,10,1,0,0,1,0,48000.0,10,3,2013,290,42,1,2,500,989.97,0,1,5,6,11,3,32500,0
2,2,2,0,1,1,23,1,2,0,1,0,57700.0,12,9,2003,124,32,1,0,1000,1310.71,0,0,5,4,11,5,29300,0
3,3,3,3,4,0,8,1,1,1,3,0,3900.0,5,14,2010,107,32,2,0,500,1172.82,4000000,1,0,6,19,2,82100,0
2,0,1,3,4,2,20,1,1,0,2,0,78000.0,11,15,2000,475,57,2,0,500,1216.56,0,1,5,0,16,3,67400,-83200
0,1,0,2,6,3,15,4,2,0,1,1,77800.0,4,30,2002,309,47,0,2,500,1527.95,0,1,6,3,10,2,69400,0
0,0,1,1,6,4,2,3,0,1,0,0,57860.0,13,20,2011,255,46,0,1,500,1302.34,0,0,3,9,18,3,0,-52600
3,3,3,3,3,3,21,1,0,1,0,2,7150.0,13,20,2003,241,43,1,1,1000,935.77,0,1,0,9,9,3,0,-36000
2,1,0,3,1,1,10,1,2,1,2,0,54360.0,8,12,1995,142,29,2,0,2000,1307.68,0,0,4,2,7,0,0,-48500
0,0,0,1,6,0,19,3,0,2,1,0,62800.0,1,4,2003,355,47,2,2,2000,1273.7,4000000,1,1,7,11,0,0,0
3,3,1,4,6,0,3,1,2,1,1,0,2250.0,12,11,2005,191,33,2,2,2000,1551.61,0,1,2,1,12,4,45000,-30400
0,2,2,1,6,5,11,3,0,2,1,1,24570.0,10,3,2006,210,35,0,0,500,1433.24,0,0,1,3,19,1,0,-19500
1,3,1,4,6,3,8,1,1,2,3,0,6500.0,10,1,2013,428,59,1,1,500,1344.36,7000000,0,3,9,10,2,0,0
3,3,1,3,6,1,9,1,0,0,3,0,3080.0,9,35,1998,55,35,0,2,500,1198.44,8000000,1,4,8,14,5,0,0
0,2,1,1,1,5,16,3,0,1,0,1,76560.0,9,35,2009,428,54,1,0,2000,1506.21,0,1,5,13,11,4,0,-24400
0,1,2,1,6,1,13,3,0,2,3,1,63240.0,11,15,1997,431,54,2,0,1000,1372.27,0,0,5,2,13,3,17600,0
2,1,2,3,1,4,12,1,1,0,0,0,85690.0,2,0,2011,9,30,0,0,1000,1073.83,0,0,2,6,7,1,0,0
0,1,1,3,1,0,7,3,1,0,1,1,72820.0,2,0,2010,245,39,2,1,500,964.79,8000000,0,0,0,4,0,58000,0
2,0,1,3,1,6,14,1,0,2,0,2,59400.0,4,27,1995,463,57,0,1,500,1063.67,0,1,5,8,7,5,0,0
2,2,1,0,1,0,13,1,1,0,1,2,63100.0,0,33,2000,316,46,2,0,500,1219.94,7000000,0,5,9,13,5,0,-51000
0,0,2,2,4,1,1,3,2,2,2,1,61650.0,9,35,2006,43,38,2,2,1000,1601.47,0,1,6,5,16,2,64400,0
3,3,1,4,6,3,3,1,1,0,3,0,6240.0,5,16,2011,334,47,0,2,500,1238.89,0,1,5,10,17,2,0,0
0,1,2,1,4,6,11,3,1,1,3,2,49410.0,1,4,2015,198,36,1,1,1000,1096.39,0,1,2,1,11,3,0,0
2,0,1,0,5,3,15,1,0,1,0,2,54000.0,12,18,1996,289,47,2,2,2000,1102.29,0,0,0,0,10,3,73000,-37900
2,0,1,3,4,1,12,1,1,2,3,2,90240.0,3,25,1995,354,48,0,2,2000,1526.11,5000000,0,5,11,8,4,0,0
0,0,2,0,6,6,17,3,1,2,0,1,78240.0,11,21,2013,45,38,1,0,1000,1197.71,0,1,5,6,12,1,29000,0
2,2,1,3,0,2,19,1,1,1,0,0,60570.0,9,26,2011,91,31,1,0,1000,1338.4,4000000,0,2,8,14,3,63600,0
2,0,2,0,4,4,23,1,2,0,0,0,55800.0,4,30,2004,437,58,1,2,2000,1192.04,0,1,0,2,7,3,66100,-31400
0,1,1,2,1,4,10,3,0,0,3,0,57200.0,2,22,2011,178,38,0,1,500,1381.14,0,0,1,7,4,5,0,0
0,0,2,2,0,0,0,4,2,1,0,0,77130.0,0,23,1995,22,25,2,1,2000,1053.24,0,0,1,9,12,2,51100,0
0,1,1,3,5,0,6,3,1,2,0,2,85300.0,12,18,2003,369,55,2,1,2000,1589.54,0,1,1,5,4,0,55400,0
0,2,2,2,4,0,16,3,2,1,0,2,50500.0,0,33,2004,208,36,0,1,500,1153.49,0,1,0,2,0,2,0,0
0,2,2,1,6,2,6,3,1,2,3,0,79800.0,6,10,1999,65,30,1,0,500,1455.65,4000000,0,1,13,16,5,0,-66300
0,2,0,3,4,5,3,3,0,2,1,1,98280.0,3,34,2007,234,41,1,0,500,951.56,0,0,3,13,18,5,59400,-78600
2,1,2,2,4,2,0,1,0,2,1,1,55000.0,13,20,2008,16,35,0,1,1000,1358.03,0,1,3,11,5,3,59300,-31400
1,3,1,3,6,1,6,1,1,0,3,1,5060.0,8,12,2007,456,60,2,1,1000,766.19,0,0,0,11,11,0,0,0
0,2,1,1,6,2,17,3,0,1,1,0,33930.0,2,38,1998,478,64,2,1,500,835.02,0,0,0,0,15,4,59600,0
2,1,2,0,5,1,11,1,0,0,2,2,101860.0,6,8,2007,128,28,2,2,1000,986.53,0,0,2,0,14,2,62700,0
0,0,1,2,4,6,15,3,0,1,2,2,66900.0,11,15,1999,242,44,0,2,2000,1396.89,6000000,0,1,8,5,2,0,-61600
0,2,2,1,1,3,20,3,0,2,2,0,45700.0,2,0,2008,165,36,0,1,2000,1247.87,0,1,5,1,9,0,0,-39700
0,1,0,1,4,3,19,3,1,0,2,2,47790.0,11,19,1995,134,30,2,1,2000,1443.32,0,0,6,3,7,4,0,0
2,2,0,3,6,4,1,1,1,1,1,1,97080.0,2,37,2001,116,34,1,1,500,1737.66,0,1,0,13,5,4,0,-24100
0,2,1,3,1,6,20,3,2,0,2,1,65040.0,11,19,2010,110,28,2,1,1000,1573.93,0,1,1,7,12,2,30400,0
0,2,0,1,0,3,13,3,1,2,0,0,64000.0,2,38,1996,214,41,0,2,500,1398.51,4000000,1,5,12,14,1,0,-57100
0,0,0,0,0,0,21,3,1,0,1,1,51000.0,9,29,2013,112,27,2,0,500,965.13,0,0,5,12,8,4,60000,-54800
0,1,1,0,1,0,14,3,1,1,0,0,59700.0,9,35,2002,107,26,2,0,500,974.59,0,0,3,1,16,5,62800,0
0,2,0,0,5,6,23,3,1,0,0,1,38610.0,13,28,2007,411,56,0,1,1000,1595.28,0,0,1,10,8,2,0,0
2,0,2,0,6,0,11,1,0,0,2,1,58200.0,2,37,2013,210,35,0,2,1000,1346.27,0,1,5,4,6,1,44900,-91400
0,1,1,0,4,2,0,3,0,1,0,0,47800.0,7,17,2009,196,41,0,1,2000,1800.76,0,1,3,10,4,2,0,-78600
2,1,1,1,1,4,18,1,1,2,2,2,34290.0,7,17,2013,286,43,0,0,500,1564.43,3000000,0,4,9,12,4,77500,-32800
2,2,0,3,4,1,13,1,2,0,1,0,57690.0,8,7,2010,279,43,2,2,2000,1281.25,0,1,0,6,6,2,0,0
2,0,1,3,1,4,0,1,0,2,2,2,62920.0,0,23,2005,86,29,0,0,2000,1409.06,0,1,2,9,19,0,74200,-68100
2,0,1,1,1,1,7,1,0,0,1,0,64080.0,12,9,2005,260,46,2,0,2000,1482.57,0,1,4,8,15,0,35000,0
2,0,0,1,4,5,10,1,0,2,3,2,87890.0,2,38,2014,239,39,1,1,2000,625.08,0,0,3,10,10,5,44200,-37000
1,3,1,3,1,6,17,1,2,0,0,1,8700.0,0,31,2003,236,39,1,1,1000,1151.39,4000000,0,5,3,15,5,0,-63900
0,0,0,2,6,1,3,3,1,2,2,0,61500.0,4,30,2012,194,39,1,1,500,823.17,0,1,5,0,13,3,0,0
0,1,1,0,1,6,1,3,0,2,3,1,73800.0,1,4,1995,186,38,1,1,2000,1347.31,0,0,3,10,7,4,80900,-111100
0,1,2,0,4,1,17,3,1,1,1,0,60190.0,8,24,2014,270,41,0,1,1000,817.28,0,1,2,11,6,4,62200,0
2,2,2,0,4,6,3,1,1,0,3,1,57500.0,1,4,2010,110,27,2,2,1000,1664.66,0,0,0,8,9,3,0,-66200
0,0,1,3,1,6,0,3,1,0,0,1,78650.0,9,29,2012,137,34,1,1,1000,1333.35,0,1,6,9,2,0,0,-77000
2,2,1,0,0,3,14,1,1,0,2,0,82830.0,1,5,2004,344,51,1,0,2000,1398.46,0,1,0,11,16,2,0,0
2,0,2,1,1,1,12,1,1,0,3,2,91520.0,2,38,2005,211,38,1,1,1000,1055.09,0,0,5,13,18,3,0,0
2,0,1,0,4,1,4,1,1,0,3,2,43600.0,11,21,2010,101,32,0,1,500,895.14,0,1,3,11,18,2,52600,-30400
2,0,2,2,6,4,23,1,0,1,3,0,61270.0,11,21,1999,108,32,2,2,2000,1257.0,4000000,0,2,6,1,4,63900,-43700
0,2,1,3,6,0,14,4,0,1,0,2,31680.0,12,9,2006,70,28,0,1,1000,1319.81,0,1,2,6,19,0,67200,-59400
2,2,2,2,6,1,8,1,0,0,0,1,40320.0,11,19,2001,166,38,0,0,2000,1588.55,0,1,4,10,18,4,59600,-32100
0,2,0,1,6,0,17,3,1,2,2,1,70400.0,0,31,2002,143,33,2,2,1000,1200.09,0,0,0,2,2,4,38400,-5700
0,1,1,0,1,6,6,4,1,1,1,0,39720.0,0,23,2002,0,32,2,2,1000,1377.04,0,1,1,12,0,5,61400,-41100
2,0,2,2,0,0,4,1,2,2,1,1,58560.0,8,12,2002,338,47,0,2,500,1143.46,4000000,1,4,8,14,2,0,0
2,1,2,2,1,3,0,1,2,0,2,1,57240.0,2,38,1995,84,32,0,2,500,1694.09,7000000,0,0,9,6,0,0,0
2,1,1,3,4,5,18,1,1,1,2,2,74700.0,4,30,2010,261,42,2,1,500,1337.56,0,0,1,9,18,4,0,0
2,0,2,2,6,3,0,1,2,0,1,0,85150.0,3,25,1998,245,40,1,2,500,885.08,0,0,5,1,16,2,27000,-58900
3,3,3,4,3,6,3,1,2,1,2,0,3200.0,8,12,2014,95,28,2,1,1000,773.99,0,1,0,1,2,2,0,-70300
0,2,1,0,1,6,19,3,1,2,0,1,53040.0,1,4,2006,230,41,1,0,1000,1464.03,0,1,3,13,17,3,0,0
2,1,0,3,0,6,13,1,2,1,2,2,58500.0,5,13,2001,56,36,1,0,500,1533.07,0,1,3,4,8,3,0,-28800
2,0,2,0,4,4,12,1,1,2,0,1,76050.0,3,32,1997,278,48,1,2,2000,1142.62,7000000,0,4,4,7,1,0,-54000
2,0,0,0,1,4,11,1,0,2,1,0,76560.0,5,16,2008,206,36,0,2,500,1625.45,4000000,0,4,7,18,2,0,-53700
0,2,2,0,0,0,5,3,1,0,3,0,42500.0,13,20,1999,153,37,1,2,500,1010.77,0,1,2,13,1,4,52300,-55600
3,3,1,3,6,5,8,1,0,0,0,2,4800.0,2,0,2006,104,30,2,0,500,1052.85,0,0,4,10,16,2,0,-70100
0,0,0,1,1,4,13,3,2,0,1,1,58300.0,11,21,2007,275,41,2,0,2000,1514.72,0,1,2,13,2,3,35700,0
3,3,3,3,0,2,9,1,0,1,0,0,6890.0,1,5,1999,394,57,0,1,500,1401.2,0,0,2,2,12,3,51500,0
2,1,2,1,6,1,3,1,1,0,1,0,105040.0,4,30,1999,149,34,1,1,500,664.86,0,0,6,2,16,5,0,-60000
2,0,2,1,6,2,16,1,2,2,1,1,47430.0,12,9,2000,398,53,0,0,2000,1396.43,0,0,0,8,0,4,21500,0
1,3,1,4,1,2,18,1,0,1,0,0,6700.0,7,36,2011,47,37,1,1,2000,1241.97,0,1,2,7,12,1,75400,0
2,1,1,3,4,0,22,1,2,0,3,1,34800.0,0,23,1999,95,30,0,1,2000,1370.92,0,1,1,13,18,4,48900,0
2,0,1,0,0,5,12,1,0,0,3,1,69360.0,4,30,2009,70,29,1,0,1000,1425.79,0,0,4,1,18,2,62400,-52300
2,0,0,3,0,3,21,1,2,1,0,0,55170.0,1,5,2005,310,48,2,0,1000,845.16,0,0,5,8,0,2,0,0
3,3,1,3,4,5,21,1,2,1,1,2,5600.0,11,21,2005,132,32,2,1,2000,1106.84,0,1,6,7,15,5,43100,-31900
0,2,1,1,5,6,21,3,2,2,0,1,79090.0,9,26,2012,54,35,1,0,500,1261.28,0,0,4,10,10,4,68500,-42100
2,1,1,3,6,2,2,1,0,2,1,0,57330.0,7,17,1998,334,46,0,0,1000,876.88,6000000,1,4,11,15,2,0,0
2,2,0,0,1,6,23,1,2,1,2,2,90860.0,13,20,2004,427,60,1,0,1000,1178.61,7000000,1,4,2,2,3,0,-54400
2,2,0,2,1,6,19,1,1,1,1,1,71060.0,10,1,2010,272,41,2,2,2000,1608.34,0,0,0,4,15,3,33300,-10600
0,0,2,1,1,1,0,3,1,1,3,1,50380.0,11,15,1996,212,35,1,2,2000,1123.89,0,1,4,8,18,4,35400,-49200
0,2,1,2,4,3,13,3,2,2,0,1,84500.0,2,38,2009,91,30,0,1,2000,1316.63,8000000,0,5,6,9,4,43900,0
2,2,2,2,1,5,14,1,2,0,0,0,45100.0,9,26,2013,190,38,2,1,500,1246.03,0,1,3,2,12,4,61900,-50000
0,0,1,0,5,3,14,3,2,1,3,1,54120.0,7,17,2007,4,39,0,0,1000,1326.98,6000000,0,2,6,15,4,64200,0
0,0,1,3,6,6,9,3,2,2,0,0,95150.0,5,13,2007,264,43,0,2,2000,1353.33,0,1,0,0,18,1,0,-8500
2,1,0,2,4,1,16,1,0,0,3,2,63800.0,10,1,1998,67,29,0,1,1000,1861.43,0,1,2,0,14,0,60400,-67800
3,3,3,4,6,1,6,1,1,2,1,0,2640.0,7,36,2001,215,35,0,2,1000,1125.4,0,1,5,0,19,0,40000,-43400
1,3,1,3,3,0,4,1,2,1,3,2,9020.0,12,9,2005,257,43,1,0,2000,1322.1,0,1,2,9,9,3,0,-29200
0,1,2,0,1,5,22,2,0,0,3,2,59300.0,4,30,2008,212,39,2,0,1000,1255.35,0,0,3,10,16,1,60300,-58900
0,1,2,0,4,1,15,3,1,0,1,1,98670.0,3,34,2010,269,44,2,0,500,1297.75,4000000,0,3,7,5,3,0,-41400
2,0,1,1,1,2,18,1,0,1,0,0,63900.0,0,33,2014,152,33,1,0,1000,1034.27,0,0,3,1,8,0,0,0
0,2,0,0,1,2,23,3,2,0,0,2,52650.0,5,14,2001,290,45,2,0,1000,1311.3,0,0,0,6,5,5,38500,0
1,3,1,3,5,6,0,1,2,2,3,1,6160.0,8,12,2014,216,36,1,2,1000,1152.4,0,0,0,8,15,4,39600,-82400
0,0,2,0,1,6,0,3,0,2,3,1,77440.0,4,27,2004,169,36,1,1,500,1616.26,0,1,2,3,19,4,50700,-57600
2,0,0,2,6,6,15,1,2,2,0,2,53100.0,8,7,1995,147,33,2,0,1000,1334.15,6000000,1,2,2,15,1,53300,-49200
2,1,1,2,4,1,2,1,1,0,3,0,79530.0,0,23,2000,154,37,0,1,1000,2047.59,0,0,4,4,7,2,0,-67800
0,2,2,3,1,6,14,3,0,2,0,0,84590.0,10,2,2013,218,41,0,0,500,914.22,0,1,3,9,9,5,37900,-72900
2,2,2,1,4,4,13,1,2,2,0,2,74140.0,5,13,2007,213,35,2,1,500,871.46,0,1,4,12,12,0,58500,-77700
0,2,0,3,5,6,14,3,1,0,3,2,72000.0,1,4,2005,124,29,2,2,500,1301.72,0,1,5,5,9,0,0,0
0,0,1,1,0,4,16,3,1,2,3,0,28800.0,5,16,2013,279,41,0,1,500,1497.35,0,0,3,9,3,0,37300,-31700
2,0,0,0,4,2,20,1,2,1,3,0,40260.0,0,23,1996,313,47,1,1,1000,1556.17,0,1,1,9,15,5,63900,-53300
0,0,1,0,1,6,1,3,2,0,0,1,67200.0,13,28,1995,77,27,1,2,2000,966.26,0,0,2,0,0,3,56400,-32800
2,0,2,2,6,4,7,1,0,0,2,0,61290.0,6,10,1995,222,41,2,0,2000,1055.53,0,0,4,1,6,1,37800,-50300
0,2,0,2,4,2,12,2,1,2,3,1,68310.0,1,4,2003,271,42,2,0,500,1105.49,0,0,0,9,17,3,56200,-50000
0,0,0,2,3,5,10,3,1,0,2,2,53600.0,1,5,2015,27,28,1,0,2000,1371.78,0,1,3,4,14,2,0,-32500
0,0,0,0,4,1,18,3,1,1,2,1,32280.0,5,16,2010,371,54,1,0,2000,1317.97,0,1,2,2,12,5,34700,-81000
3,3,1,4,0,0,8,1,2,1,3,1,4700.0,10,1,1998,127,34,2,2,500,1319.97,0,0,0,2,13,3,73700,0
2,1,1,1,5,5,0,1,0,1,3,1,52200.0,6,8,2011,65,26,1,0,500,1285.03,3000000,0,2,2,4,4,0,-41500
2,0,1,1,5,0,10,1,2,0,1,1,43280.0,6,10,1996,254,40,1,0,500,1927.87,0,1,4,9,19,0,0,0
2,0,1,0,4,1,17,1,0,1,2,1,51390.0,13,20,2007,276,46,2,0,2000,1090.32,0,1,1,5,5,0,0,-70400
0,2,2,3,6,0,0,3,1,2,3,2,68160.0,5,13,2010,407,55,2,0,1000,1250.08,5000000,0,6,12,3,5,0,-57700
0,2,1,0,0,0,6,3,0,1,2,0,50800.0,0,23,2005,137,31,2,1,2000,1340.43,0,1,2,3,13,0,52700,-40600
1,3,3,4,5,0,4,1,1,2,2,1,3190.0,11,21,1995,101,26,0,2,1000,1371.88,0,0,4,9,15,0,0,0
1,3,1,4,4,6,5,1,0,1,1,0,7280.0,12,18,2010,121,34,2,0,1000,936.61,0,0,4,1,3,5,52800,-32800
0,0,0,2,6,5,8,3,0,0,3,1,59670.0,13,28,2004,116,30,1,2,500,951.46,0,1,3,5,9,1,0,-35500
0,1,0,2,6,2,11,3,1,1,0,1,73920.0,6,10,2003,81,25,1,0,500,920.3,5000000,0,2,12,10,3,51000,-67900
3,3,1,3,6,6,7,1,0,2,1,1,5590.0,2,37,2000,274,44,1,2,500,1395.58,0,0,3,12,15,0,0,0
1,3,1,3,2,1,5,1,0,2,3,0,7110.0,0,23,2005,103,29,2,2,500,914.85,0,1,0,9,0,2,72100,0
1,3,1,4,4,5,16,1,0,2,1,0,4900.0,7,36,2015,64,30,0,1,2000,1681.01,0,1,3,10,0,3,0,-51100
0,2,0,3,0,1,7,3,2,1,0,1,70510.0,11,15,1999,223,40,1,0,500,1201.41,0,0,3,8,12,0,88400,-46500
0,1,0,3,4,0,19,3,2,0,3,1,68200.0,7,36,2007,440,57,0,0,1000,995.55,5000000,1,1,10,13,5,51500,-52100
2,1,1,3,6,1,19,1,0,2,1,0,86130.0,3,32,1995,205,42,0,0,2000,1387.7,4000000,0,2,8,16,2,0,0
0,1,2,0,1,5,21,3,1,2,2,0,65400.0,4,30,2012,174,36,0,0,2000,1278.75,0,0,1,12,13,3,53200,-53800
2,2,0,0,0,0,13,1,2,0,1,1,94160.0,3,25,1996,284,42,2,0,500,1338.54,-1000000,1,0,6,11,5,0,0
2,1,1,2,3,2,13,1,1,1,0,2,79600.0,7,36,2011,324,46,1,0,2000,897.89,6000000,1,4,12,2,5,0,-41300
2,1,0,1,0,0,19,1,1,1,3,2,64100.0,3,25,2001,94,30,1,1,2000,1025.54,0,0,2,1,13,2,0,-52600
3,3,3,3,6,6,5,1,2,1,1,0,7480.0,10,3,1998,242,40,2,0,500,1238.65,0,0,2,13,3,0,0,-44600
2,0,2,1,1,0,17,1,2,1,1,0,41130.0,4,30,1999,99,32,1,0,1000,1058.21,3000000,1,3,2,9,4,0,0
2,0,2,2,1,2,21,1,1,1,2,1,62460.0,6,6,2003,7,21,1,2,1000,1342.72,0,1,0,6,4,5,0,-45300
0,1,2,3,3,3,14,3,0,0,2,0,44190.0,1,4,2015,350,50,2,2,500,889.13,0,0,5,8,2,2,0,0
2,0,0,0,1,3,18,1,1,0,2,0,54900.0,8,7,2013,296,46,2,0,1000,1141.35,7000000,1,5,2,17,1,0,0
2,0,1,1,6,2,16,1,0,2,2,1,61320.0,2,22,1998,280,48,0,1,1000,1387.35,0,1,3,13,13,1,0,-72000
0,1,2,1,4,0,14,3,0,1,2,2,59100.0,9,26,1998,151,37,1,1,500,1366.42,0,0,0,10,6,4,44000,0
2,2,0,1,1,4,7,1,0,2,0,1,56600.0,12,9,1999,46,24,2,1,2000,1568.47,4000000,0,2,1,19,4,46800,0
